sim_cond,DGM,N_person,true_var,WLE_rel,beta_kind,N_item_mean,WLE_rel_bias_mean,WLE_rel_est_mean
1,Gaussian,20,1,0.5,beta_even,8.21,0.026994683335164908,0.5027503491483768
1,Gaussian,20,1,0.5,beta_norm,8,0.028018347519644077,0.502639002808026
1,Gaussian,20,1,0.5,beta_unif,8.45,0.022501777208079065,0.5051956792352366
2,Gaussian,20,1,0.6,beta_even,11.14,0.01554442515699327,0.5983977983195429
2,Gaussian,20,1,0.6,beta_norm,11.5,0.013883210514993832,0.6018371707056726
2,Gaussian,20,1,0.6,beta_unif,11.81,0.014409591073604795,0.6007291609023008
3,Gaussian,20,1,0.7,beta_even,13.8,0.007854604720304345,0.7001520947568511
3,Gaussian,20,1,0.7,beta_norm,15.03,0.0064976169571155816,0.7019240779488398
3,Gaussian,20,1,0.7,beta_unif,15.22,0.009808693303014336,0.7017659117208064
4,Gaussian,20,1,0.8,beta_even,24.15,0.0041733325664206344,0.7996703820279487
4,Gaussian,20,1,0.8,beta_norm,24.16,0.004038175058758883,0.7994327409645388
4,Gaussian,20,1,0.8,beta_unif,24.01,0.0030032069317679965,0.7999100957652866
5,Gaussian,20,1,0.9,beta_even,47.04,0.0012127646382001367,0.8999207385763843
5,Gaussian,20,1,0.9,beta_norm,45.22,0.0011502146814752912,0.9000354335610712
5,Gaussian,20,1,0.9,beta_unif,46.11,0.001453439592296737,0.8998381769687407
6,ALD,20,1,0.5,beta_even,7.63,0.022162153264535932,0.5022200653065849
6,ALD,20,1,0.5,beta_norm,8.6,0.024991450598642904,0.5018250973870501
6,ALD,20,1,0.5,beta_unif,7.87,0.027527952420759262,0.5036281808806999
7,ALD,20,1,0.6,beta_even,13.86,0.0128931725423686,0.6020797844986684
7,ALD,20,1,0.6,beta_norm,13.74,0.014816618078118187,0.6032363989454027
7,ALD,20,1,0.6,beta_unif,14.86,0.013269466515127303,0.603781420936595
8,ALD,20,1,0.7,beta_even,24.09,0.004743023333980809,0.7005623433570946
8,ALD,20,1,0.7,beta_norm,23.14,0.004987795026773861,0.6996685010655521
8,ALD,20,1,0.7,beta_unif,23.56,0.004923031300263729,0.6994178758962644
9,ALD,20,1,0.8,beta_even,18.61,0.00636243164572147,0.8002520509031493
9,ALD,20,1,0.8,beta_norm,20.14,0.004040045408397911,0.8001283533728196
9,ALD,20,1,0.8,beta_unif,19.39,0.005736878640766353,0.8006866203077904
10,ALD,20,1,0.9,beta_even,61.08,0.0010577046512058618,0.9001576824748477
10,ALD,20,1,0.9,beta_norm,62.79,0.0020828091767104684,0.8992881191715183
10,ALD,20,1,0.9,beta_unif,61.74,0.0010592173985245422,0.8995957668206552
11,Mixed,20,1,0.5,beta_even,16.6,0.010828752783419875,0.501389521259185
11,Mixed,20,1,0.5,beta_norm,16.64,0.012855102915123928,0.49582120292761
11,Mixed,20,1,0.5,beta_unif,17.34,0.011372276743017272,0.5025800218171212
12,Mixed,20,1,0.6,beta_even,38.33,0.00422075438765945,0.599636854420366
12,Mixed,20,1,0.6,beta_norm,35.49,0.0071207320288036845,0.600493989500269
12,Mixed,20,1,0.6,beta_unif,34.63,0.003872578224648613,0.5996149452810808
13,Mixed,20,1,0.7,beta_even,27.68,0.005236157225461113,0.7009511774969465
13,Mixed,20,1,0.7,beta_norm,25.56,0.00562014536596896,0.7007440896502184
13,Mixed,20,1,0.7,beta_unif,27.92,0.00496058199193484,0.6992156629312773
14,Mixed,20,1,0.8,beta_even,22.02,0.01031413724096363,0.7998075153201498
14,Mixed,20,1,0.8,beta_norm,22.63,0.004044516173083129,0.8005287406979076
14,Mixed,20,1,0.8,beta_unif,22.92,0.008106031161634789,0.8017602926080649
15,Mixed,20,1,0.9,beta_even,60.8,0.001471947040888717,0.8999548847006703
15,Mixed,20,1,0.9,beta_norm,59.69,0.0012294517205866872,0.8998396642361691
15,Mixed,20,1,0.9,beta_unif,60.2,0.001280919105624434,0.9000753848826416
16,Gaussian,50,1,0.5,beta_even,8.77,0.018469946925650068,0.5033026117210008
16,Gaussian,50,1,0.5,beta_norm,8.77,0.019512792326846416,0.5060004208910646
16,Gaussian,50,1,0.5,beta_unif,9.28,0.01730864446761222,0.5030996899677758
17,Gaussian,50,1,0.6,beta_even,9.58,0.01667253013834031,0.6046914271118027
17,Gaussian,50,1,0.6,beta_norm,9.75,0.015048688883911521,0.6013453514311541
17,Gaussian,50,1,0.6,beta_unif,9.7,0.014778445519760337,0.6041122250527936
18,Gaussian,50,1,0.7,beta_even,18.23,0.006077230056888043,0.7002658306482702
18,Gaussian,50,1,0.7,beta_norm,17.29,0.00819255448446618,0.7008640247624796
18,Gaussian,50,1,0.7,beta_unif,18.26,0.00618980211203737,0.6991700347555891
19,Gaussian,50,1,0.8,beta_even,26.79,0.0031300265636347436,0.7995864473982881
19,Gaussian,50,1,0.8,beta_norm,25.6,0.0031943780570104986,0.800000482152975
19,Gaussian,50,1,0.8,beta_unif,28.67,0.003702602993400307,0.8001937798432133
20,Gaussian,50,1,0.9,beta_even,63.7,9.409698947909961e-4,0.899880691838595
20,Gaussian,50,1,0.9,beta_norm,59.1,8.268804215086434e-4,0.8998150131184409
20,Gaussian,50,1,0.9,beta_unif,62.68,9.51151712542313e-4,0.9000315072534887
21,ALD,50,1,0.5,beta_even,10.01,0.0167635623480082,0.5016994721530148
21,ALD,50,1,0.5,beta_norm,9.56,0.017258208438879614,0.5053298149577374
21,ALD,50,1,0.5,beta_unif,10.85,0.019464830475213205,0.4980942719089671
22,ALD,50,1,0.6,beta_even,16.95,0.00806253492728502,0.6010368301492527
22,ALD,50,1,0.6,beta_norm,16.24,0.008055434619887463,0.6007954515969957
22,ALD,50,1,0.6,beta_unif,16.73,0.00782892921634634,0.5994561978648728
23,ALD,50,1,0.7,beta_even,19.82,0.00819301972941684,0.6993004213564772
23,ALD,50,1,0.7,beta_norm,17.32,0.005014345298696745,0.6999048320193848
23,ALD,50,1,0.7,beta_unif,21.32,0.006619152967801315,0.6991814110312777
24,ALD,50,1,0.8,beta_even,28.68,0.0027053614393603154,0.8002003231642121
24,ALD,50,1,0.8,beta_norm,27.73,0.0029810412812586594,0.8003581369381878
24,ALD,50,1,0.8,beta_unif,29.77,0.0027741963761707543,0.7996598432528121
25,ALD,50,1,0.9,beta_even,66.81,0.00356734743711955,0.8978870152588662
25,ALD,50,1,0.9,beta_norm,66.83,0.0024225784167368693,0.8989543244053273
25,ALD,50,1,0.9,beta_unif,66.26,0.0037034696578940995,0.89794924502371
26,Mixed,50,1,0.5,beta_even,7.3,0.021147955935571644,0.505378401356264
26,Mixed,50,1,0.5,beta_norm,7.52,0.021177461627781786,0.4980524805370038
